Tamaño municipio (habitantes);Municipios;Total población;Nº jóvenes;% jóvenes;Nº adultos;% adultos;Nº mayores;% mayores
Total España;8131;48085361;7054555;14,67089953;31343030;65,18206237;9687776;20,1470381
Rural;5859;2689972;290177;10,78736136;1633740;60,73446118;766055;28,47817747
0 - 100;1369;78322;3693;4,715150277;44201;56,43497357;30428;38,84987615
101 - 500;2616;654521;56134;8,5763482;384825;58,79490498;213562;32,62874682
501 - 1.000;993;712441;78839;11,06603915;434550;60,99452446;199052;27,93943639
1.001 - 2.000;881;1244688;151511;12,17260872;770164;61,87606854;323013;25,95132274
Intermedio;1500;6910193;1020201;14,7637121;4464978;64,61437474;1425014;20,62191317
2.001 - 5.000;954;3038565;431183;14,19034972;1938860;63,80840956;668522;22,00124072
5.001 - 10.000;546;3871628;589018;15,21370338;2526118;65,24691938;756492;19,53937723
Urbano;772;38485196;5744177;14,92567947;25244312;65,59486406;7496707;19,47945646
10.001- 20.000;349;4913421;760747;15,48304125;3211587;65,36356237;941087;19,15339638
20.001 -50.000;271;8023422;1264413;15,75902402;5311093;66,1948605;1447916;18,04611549
50.001 - 100.000;87;6256100;984112;15,73043909;4121791;65,88435287;1150197;18,38520804
100.001 - 500.000;59;11536819;1684846;14,60407761;7492706;64,94603062;2359267;20,44989178
>500.000;6;7755434;1050059;13,53965491;5107135;65,85234302;1598240;20,60800208
